dokid	anforande_nummer
GV01CU15	31
GV01CU15	32
GV01CU15	33
GV01CU15	34
GV01CU15	35
GV01CU15	36
GV01CU15	43
GV01CU15	50
GV01CU15	56
GV01CU15	57
GV01CU15	58
GV01CU15	59
GV01CU15	60
GV01CU15	61
GV01CU15	63
GV01CU15	65
GV01CU15	68
GV01CU15	70
GV01CU15	72
GV01CU15	73
GV01CU15	74
GV01CU15	75
GV01CU15	76
GV01CU20	10
GV01CU20	11
GV01CU20	13
GV01CU20	16
GV01CU6	70
GV01CU6	75
GV01CU6	76
GV01CU7	78
GV01CU7	79
GV01CU7	80
GV01CU7	81
GV01CU7	82
GV01CU7	83
GV01CU7	87
GV01CU7	89
GV01FiU1	3
GV01FiU1	10
GV01FiU1	12
GV01FiU1	23
GV01FiU1	25
GV01FiU1	32
GV01FiU1	34
GV01FiU1	36
GV01FiU1	38
GV01FiU1	40
GV01FiU1	41
GV01FiU1	42
GV01FiU1	43
GV01FiU1	44
GV01FiU1	46
GV01FiU1	48
GV01FiU1	54
GV01FiU1	56
GV01FiU1	91
GV01FiU1	93
GV01FiU1	95
GV01FiU1	97
GV01FiU1	99
GV01FiU1	101
GV01FiU1	103
GV01FiU1	104
GV01FiU1	106
GV01FiU1	108
GV01FiU1	110
GV01FiU1	112
GV01FiU1	114
GV01FiU1	116
GV01FiU14	7
GV01FiU14	9
GV01FiU14	11
GV01FiU14	13
GV01FiU14	15
GV01FiU14	17
GV01FiU14	18
GV01FiU14	20
GV01FiU14	22
GV01FiU14	23
GV01FiU17	27
GV01FiU17	29
GV01FiU17	31
GV01FiU19	63
GV01FiU19	64
GV01FiU23	33
GV01FiU24	76
GV01FiU26	2
GV01FiU7	117
GV01FiU7	118
GV01FiU7	120
GV01FiU7	121
GV01FiU7	122
GV01FiU7	123
GV01FiU7	124
GV01FiU7	125
GV01FiU7	126
GV01FiU7	127
GV01FiU7	128
GV01FiU7	129
GV01FöU11	17
GV01FöU11	19
GV01FöU11	21
GV01FöU11	23
GV01FöU11	25
GV01FöU11	27
GV01FöU11	29
GV01FöU11	30
GV01FöU11	32
GV01FöU11	34
GV01FöU11	36
GV01FöU11	38
GV01FöU8	10
GV01FöU8	12
GV01FöU8	14
GV01FöU8	16
GV01FöU8	17
GV01FöU8	18
GV01FöU8	19
GV01FöU8	20
GV01JuU10	62
GV01JuU10	64
GV01JuU10	66
GV01JuU10	70
GV01JuU10	82
GV01JuU10	84
GV01JuU10	86
GV01JuU10	88
GV01JuU10	90
GV01JuU10	91
GV01JuU14	47
GV01JuU14	49
GV01JuU14	51
GV01JuU14	53
GV01JuU14	55
GV01JuU14	60
GV01JuU14	62
GV01JuU16	67
GV01JuU19	10
GV01JuU19	11
GV01JuU19	12
GV01JuU19	13
GV01JuU19	14
GV01KU18	6
GV01KU18	9
GV01KU23	2
GV01KrU12	102
GV01KrU12	104
GV01KrU12	106
GV01KrU14	129
GV01KrU14	131
GV01KrU14	133
GV01KrU4	22
GV01KrU7	131
GV01KrU7	133
GV01KrU7	135
GV01KrU7	137
GV01KrU7	139
GV01KrU7	164
GV01KrU8	171
GV01MJU12	154
GV01MJU15	146
GV01MJU15	147
GV01MJU15	148
GV01MJU15	149
GV01MJU15	150
GV01MJU15	151
GV01MJU15	155
GV01MJU15	157
GV01MJU15	159
GV01MJU15	162
GV01MJU15	164
GV01NU10	223
GV01NU10	230
GV01NU10	231
GV01NU10	232
GV01NU10	233
GV01NU10	234
GV01NU10	236
GV01NU10	238
GV01NU10	240
GV01NU10	242
GV01NU10	243
GV01NU13	1
GV01NU13	3
GV01NU13	5
GV01NU13	7
GV01NU13	13
GV01NU13	15
GV01NU13	17
GV01NU13	18
GV01NU13	19
GV01NU13	20
GV01NU13	21
GV01NU13	23
GV01NU13	25
GV01NU13	26
GV01NU13	27
GV01NU13	28
GV01NU13	29
GV01NU13	31
GV01NU13	33
GV01NU13	35
GV01NU13	39
GV01NU13	43
GV01NU13	44
GV01NU7	163
GV01NU7	169
GV01NU7	171
GV01NU7	173
GV01NU7	174
GV01NU7	175
GV01NU7	176
GV01NU7	177
GV01NU7	187
GV01NU7	189
